Store,Model,RMSE,MAE,MAPE
1,Hybrid,5836.8125132311325,5028.588266635581,101.25959386954528
1,XGBoost,376.64086840118665,312.4143981933594,7.845181051081716
1,ARIMA,1653.1438470249852,1227.03449747328,17.70385585939005
2,Hybrid,11554.67728814233,10223.368300935079,215.87039531375996
2,XGBoost,489.29241001675064,362.2807922363281,8.704200535645993
2,ARIMA,1950.791326332386,1553.8017065913095,24.606014612832674
3,Hybrid,13679.343861768344,12087.900802148615,182.33007613133753
3,XGBoost,699.4685929332353,521.4945068359375,8.592843818411811
3,ARIMA,2620.662602311475,2004.268938424127,21.589163451488844
4,Hybrid,12944.373878773518,11192.604287410726,99.15266935257605
4,XGBoost,1433.1092945061796,1057.396240234375,11.11942327741551
4,ARIMA,3797.6517217922324,2945.6981543456654,19.722707819152607
5,Hybrid,9733.25967195898,8560.088949126251,215.67687630751254
5,XGBoost,507.70386915011784,364.20953369140625,9.396513454482431
5,ARIMA,1957.2017162219533,1486.831491108536,27.051289620319302
6,Hybrid,9314.53396732467,8247.599114477815,185.76801367185038
6,XGBoost,1100.6292518373295,948.8709716796875,24.901777757584252
6,ARIMA,1671.4941135175368,1235.9126228236714,18.850384426846226
7,Hybrid,17645.878641856514,15562.794533535573,146.65362893164183
7,XGBoost,1104.9579743139554,681.7537841796875,6.912598319341355
7,ARIMA,4149.588094405137,3448.068237951574,26.064798572942372
8,Hybrid,13806.87933628718,12251.851943784102,201.91869998676574
8,XGBoost,1398.729646858177,1200.643798828125,21.883058582842324
8,ARIMA,2650.8879643163464,2146.913437025092,25.987434324096213
9,Hybrid,12275.868518884969,10900.695186943809,146.76192850628155
9,XGBoost,1161.2182719024017,906.4949951171875,13.530327442692732
9,ARIMA,2753.3290960455374,1976.0586557201448,17.13983453216407
10,Hybrid,10716.621744219083,9474.47915916025,146.91296763257105
10,XGBoost,821.7009416448298,616.3873291015625,11.436078095835663
10,ARIMA,2188.8540939929694,1787.309214701452,22.148251614097024
